qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q1340366,enzyme,酵素,Q59199015,Enders reagents,,group of stereoisomers used in chiral synthesis,,,,,,
Q389595,enzyme,酵素,Q59199015,flavan,フラバン,chemical compound,,,,,,
Q2215280,enzyme,酵素,Q59199015,(+/-)-salsolinol,,group of stereoisomers,,,,,,
Q1117888,enzyme,酵素,Q59199015,isoxsuprine,イソクスプリン,group of stereoisomers,,D007556,,,,
Q2166066,enzyme,酵素,Q59199015,"2,6,10-trimethyl-9-undecenal",,chemical compound,,,,,,
Q307455,enzyme,酵素,Q59199015,N-formylmethionine,N-ホルミルメチオニン,chemical compound,,D009239,,,,C0027228
Q2446707,enzyme,酵素,Q59199015,sulfated castor oil,,chemical compound,,,,,,
Q1768219,enzyme,酵素,Q59199015,roseoflavine (undefined stereochemistry),,chemical compound,,,,,,
Q418758,enzyme,酵素,Q59199015,(EZ)-prontosil,プロントジル,group of stereoisomers,立体異性群,,,,,
Q2110317,enzyme,酵素,Q59199015,luteoskyrin,ルテオスカイリン,group of stereoisomers,,,,,,
Q1408017,enzyme,酵素,Q59199015,"(1S,7S,11S,19R,20R,23R)-5,15,19,23-tetrahydroxy-13,20-dimethyl-8,12,21-trioxahexacyclo[17.2.2.02,18.04,16.06,14.07,11]tricosa-2(18),4,6(14),15-tetraene-3,9,17-trione",,chemical compound,,,,,,
Q426220,enzyme,酵素,Q59199015,ethacridine lactate,アクリノール,pair of enantiomers,,,,,,
Q2405371,enzyme,酵素,Q59199015,10-formyltetrahydropteroyl-ξ-glutamic acid,10-ホルミルテトラヒドロ葉酸,group of stereoisomers,,,,,,
Q2484016,enzyme,酵素,Q59199015,dibenzylidene sorbitol,,chemical compound,,,,,,
Q2456972,enzyme,酵素,Q59199015,2-methylcyclohexanol,2-メチルシクロヘキサノール,"colorless liquid, with campher-like smell",,,,,,
Q418735,enzyme,酵素,Q59199015,hygromycin B,ハイグロマイシンB,chemical compound,,D006921,,,,C0020406
Q2587934,enzyme,酵素,Q59199015,DL-dipalmitoylphosphatidylcholine,ジパルミトイルホスファチジルコリン,pair of isomeric compounds,,D015060,,,,C0000039
Q907939,enzyme,酵素,Q59199015,(RS)-nornicotine,ノルニコチン,group of stereoisomers,立体異性群,,,,,
Q906534,enzyme,酵素,Q59199015,doramectin,ドラメクチン,chemical compound,,C084101,,,,C0248572
Q2594649,enzyme,酵素,Q59199015,methylhexanamine,メチルヘキサナミン,group of stereoisomers,立体異性群,,,,,
Q905712,enzyme,酵素,Q59199015,rosocyanine,,chemical compound,,,,,,
Q905756,enzyme,酵素,Q59199015,pulvinone,,chemical compound,,,,,,
Q2595963,enzyme,酵素,Q59199015,3-methylcyclohexanol,,chemical compound,,,,,,
Q908026,enzyme,酵素,Q59199015,denufosol,,chemical compound,,,,,,
Q2606497,enzyme,酵素,Q59199015,brompheniramine,ブロモフェニラミン,chemical compound,,D001977,,,,C0006246
Q61416,enzyme,酵素,Q59199015,adenosine diphosphate ribose,ADPリボース,chemical compound,,D000246,,,,C0001461
Q2539029,enzyme,酵素,Q59199015,"1,2-epoxybutane","1,2-エポキシブタン",chemical compound,,,,,,
Q909353,enzyme,酵素,Q59199015,tulobuterol,ツロブテロール,group of stereoisomers,,C010809,,,,
Q64825,enzyme,酵素,Q59199015,fenpropidin,フェンプロピジン,chemical compound,,C063198,,,,
Q907070,enzyme,酵素,Q59199015,proligestone,プロリゲストン,chemical compound,,,,,,
Q908742,enzyme,酵素,Q59199015,hematoporphyrin,ヘマトポルフィリン,chemical compound,,,,,,
Q2555245,enzyme,酵素,Q59199015,(RS)-fenoprofen,フェノプロフェン,pair of enantiomers,,D005279,,,,C0015837
Q910111,enzyme,酵素,Q59199015,dropropizine,ドロプロピジン,chemical compound,,C035916,,,,
