qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q24724547,cell type,細胞型,Q7644128,"Vinculin, conserved site",,InterPro Conserved Site,,,,,,
Q24724558,cell type,細胞型,Q7644128,"Zinc finger, XPA-type, conserved site",,InterPro Conserved Site,,,,,,
Q24724732,cell type,細胞型,Q7644128,"Ribosomal protein L2, conserved site",,InterPro Conserved Site,,,,,,
Q24725235,cell type,細胞型,Q7644128,"Glypican, conserved site",,InterPro Conserved Site,,,,,,
Q24724905,cell type,細胞型,Q7644128,NHL repeat,,InterPro Repeat,,,,,,
Q24725297,cell type,細胞型,Q7644128,Filamentous haemagglutinin repeat,,InterPro Repeat,,,,,,
Q24725027,cell type,細胞型,Q7644128,Kank N-terminal motif,,InterPro Conserved Site,,,,,,
Q24725299,cell type,細胞型,Q7644128,Histidine-rich calcium-binding repeat,,InterPro Repeat,,,,,,
Q24724767,cell type,細胞型,Q7644128,"Uncharacterised protein family UPF0021, conserved site",,InterPro Conserved Site,,,,,,
Q24724891,cell type,細胞型,Q7644128,"Ribosomal protein L22/L17, conserved site",,InterPro Conserved Site,,,,,,
Q24724818,cell type,細胞型,Q7644128,"Wnt protein, conserved site",,InterPro Conserved Site,,,,,,
Q24725425,cell type,細胞型,Q7644128,Fructose-bisphosphate aldolase class-I active site,,InterPro Conserved Site,,,,,,
Q24725666,cell type,細胞型,Q7644128,"ABC transporter, conserved site",,InterPro Conserved Site,,,,,,
Q24725022,cell type,細胞型,Q7644128,"Ribosomal protein L15e, conserved site",,InterPro Conserved Site,,,,,,
Q24725729,cell type,細胞型,Q7644128,autotransporter-associated beta strand repeat,,InterPro Repeat,,,,,,
Q24725131,cell type,細胞型,Q7644128,"Ribosomal protein L3, conserved site",,InterPro Conserved Site,,,,,,
Q24725149,cell type,細胞型,Q7644128,"RNA methyltransferase TrmA, conserved site",,InterPro Conserved Site,,,,,,
Q24725761,cell type,細胞型,Q7644128,"DNA mismatch repair, conserved site",,InterPro Conserved Site,,,,,,
Q24725287,cell type,細胞型,Q7644128,"Platelet-derived growth factor, conserved site",,InterPro Conserved Site,,,,,,
Q24725709,cell type,細胞型,Q7644128,"HMG-I/HMG-Y, DNA-binding, conserved site",,InterPro Conserved Site,,,,,,
Q24725271,cell type,細胞型,Q7644128,"UbiE/COQ5 methyltransferase, conserved site",,InterPro Conserved Site,,,,,,
Q24725846,cell type,細胞型,Q7644128,Fork head domain conserved site1,,InterPro Conserved Site,,,,,,
Q24725435,cell type,細胞型,Q7644128,PT repeat,,InterPro Repeat,,,,,,
Q24725505,cell type,細胞型,Q7644128,"Phospho-N-acetylmuramoyl-pentapeptide transferase, conserved site",,InterPro Conserved Site,,,,,,
Q24725583,cell type,細胞型,Q7644128,"Nucleoside phosphorylase, conserved site",,InterPro Conserved Site,,,,,,
Q24726032,cell type,細胞型,Q7644128,"Dehydroquinase, class II, conserved site",,InterPro Conserved Site,,,,,,
Q24725586,cell type,細胞型,Q7644128,Proline-rich tail region repeat,,InterPro Repeat,,,,,,
Q24725642,cell type,細胞型,Q7644128,Profilin conserved site,,InterPro Conserved Site,,,,,,
Q24725670,cell type,細胞型,Q7644128,"Porin, Gram-negative type, conserved site",,InterPro Conserved Site,,,,,,
Q24725579,cell type,細胞型,Q7644128,"Stathmin, conserved site",,InterPro Conserved Site,,,,,,
Q24725616,cell type,細胞型,Q7644128,"RNA 3'-terminal phosphate cyclase-like, conserved site",,InterPro Conserved Site,,,,,,
Q24725621,cell type,細胞型,Q7644128,"Schiff base-forming aldolase, conserved site",,InterPro Conserved Site,,,,,,
Q24725717,cell type,細胞型,Q7644128,Plexin repeat,,InterPro Repeat,,,,,,
Q24725603,cell type,細胞型,Q7644128,"Transforming growth factor beta, conserved site",,InterPro Conserved Site,,,,,,
Q24725894,cell type,細胞型,Q7644128,"Neurotransmitter-gated ion-channel, conserved site",,InterPro Conserved Site,,,,,,
